2022-04-15 00:00:55 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-02.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.uy0so.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=60092235, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-02.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='nodeType', value='ELECTABLE'}]}, electionId=7fffffff0000000000000005, setVersion=1, lastWriteDate=Fri Apr 15 00:00:54 WAT 2022, lastUpdateTimeNanos=76892811995400}
2022-04-15 00:00:56 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-01.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=58883554, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-01.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:57 WAT 2022, lastUpdateTimeNanos=76894350915300}
2022-04-15 00:00:59 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-00.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=67237622, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-00.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='region', value='EU_WEST_3'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:00:59 WAT 2022, lastUpdateTimeNanos=76896817815600}
2022-04-15 00:01:05 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-02.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.uy0so.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=58604988, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-02.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='provider', value='AWS'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='region', value='EU_WEST_3'}]}, electionId=7fffffff0000000000000005, setVersion=1, lastWriteDate=Fri Apr 15 00:01:05 WAT 2022, lastUpdateTimeNanos=76902870645700}
2022-04-15 00:01:06 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-01.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=58620663, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-01.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:01:06 WAT 2022, lastUpdateTimeNanos=76904418760000}
2022-04-15 00:01:16 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-01.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=57806410, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-01.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:01:17 WAT 2022, lastUpdateTimeNanos=76914476684700}
2022-04-15 00:01:19 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-00.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=66790613, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-00.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='nodeType', value='ELECTABLE'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:01:18 WAT 2022, lastUpdateTimeNanos=76916962725700}
2022-04-15 00:01:25 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-02.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.uy0so.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=58491096, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-02.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='nodeType', value='ELECTABLE'}]}, electionId=7fffffff0000000000000005, setVersion=1, lastWriteDate=Fri Apr 15 00:01:25 WAT 2022, lastUpdateTimeNanos=76922990245500}
2022-04-15 00:01:26 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-01.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=66989808, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-01.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='provider', value='AWS'}, Tag{name='nodeType', value='ELECTABLE'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:01:26 WAT 2022, lastUpdateTimeNanos=76924581628400}
2022-04-15 00:01:29 [INFO ] log_bp_api_pos - [cluster-ClusterId{value='625875bf6aaed63fc42914fb', description='null'}-cluster0-shard-00-00.uy0so.mongodb.net:27017] org.mongodb.driver.cluster:[71] - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.uy0so.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 7]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=66856350, setName='atlas-11sgpj-shard-0', canonicalAddress=cluster0-shard-00-00.uy0so.mongodb.net:27017, hosts=[cluster0-shard-00-02.uy0so.mongodb.net:27017, cluster0-shard-00-01.uy0so.mongodb.net:27017, cluster0-shard-00-00.uy0so.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.uy0so.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='region', value='EU_WEST_3'}, Tag{name='workloadType', value='OPERATIONAL'}, Tag{name='provider', value='AWS'}]}, electionId=null, setVersion=1, lastWriteDate=Fri Apr 15 00:01:29 WAT 2022, lastUpdateTimeNanos=76927042289100}
